Part,Value,Device,Package,Description,DESIGNER,PROD_ID,VALUE,VERSION
C1,1.0uF,1.0UF-0603-16V-10%,603,1µF ceramic capacitors,,CAP-00868,1.0uF,
C2,1.0uF,1.0UF-0603-16V-10%,603,1µF ceramic capacitors,,CAP-00868,1.0uF,
D1,RED,LED-RED0603,LED-0603,Red SMD LED,,DIO-00819,RED,
J1,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,SparkFun I2C Standard Qwiic Connector,,CONN-13694,QWIIC_RIGHT_ANGLE,
J2,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,SparkFun I2C Standard Qwiic Connector,,CONN-13694,QWIIC_RIGHT_ANGLE,
Q1,20V/0.2A/8MHz/1.2Ω/1Vth,MOSFET-NCH-RE1C002UN,SOT-416FL,N-channel MOSFETs,,TRANS_14399,20V/0.2A/8MHz/1.2Ω/1Vth,
Q2,20V/0.2A/8MHz/1.2Ω/1Vth,MOSFET-NCH-RE1C002UN,SOT-416FL,N-channel MOSFETs,,TRANS_14399,20V/0.2A/8MHz/1.2Ω/1Vth,
Q3,20V/0.2A/8MHz/1.2Ω/1Vth,MOSFET-NCH-RE1C002UN,SOT-416FL,N-channel MOSFETs,,TRANS_14399,20V/0.2A/8MHz/1.2Ω/1Vth,
Q6,20V/0.2A/8MHz/1.2Ω/1Vth,MOSFET-NCH-RE1C002UN,SOT-416FL,N-channel MOSFETs,,TRANS_14399,20V/0.2A/8MHz/1.2Ω/1Vth,
Q8,20V/0.2A/8MHz/1.2Ω/1Vth,MOSFET-NCH-RE1C002UN,SOT-416FL,N-channel MOSFETs,,TRANS_14399,20V/0.2A/8MHz/1.2Ω/1Vth,
R1,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor,,RES-07856,1k,
R2,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
R3,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
R4,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
R5,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
R10,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
R11,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
R14,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
R15,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
R16,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
R17,2.2k,2.2KOHM-0402T-1/16W-1%,0402-TIGHT,2.2kΩ resistor,,RES-14341,2.2k,
U$1,MOD-CH101_CONNECTOR,MOD-CH101_CONNECTOR,FPC_MOLEX5034800800,,,,,
U1,AP2127K-1.8V,V_REG_AP2127K-1.8V,SOT23-5,AP2127 - 300mA CMOS LDO Regulator w/ Enable,,VREG-14239,AP2127K-1.8V,
